,Zip_Code,Zip_Latitude,Zip_Longitude,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
0,02135,42.3463503,-71.1626756,Rogers Park,42.34702135324139,-71.16684874207246,Park
1,02135,42.3463503,-71.1626756,Twelve Hours,42.349803406861696,-71.16438451425243,Chinese Restaurant
2,02135,42.3463503,-71.1626756,Charles River Greenway,42.3508406754485,-71.16724555837769,Trail
3,02135,42.3463503,-71.1626756,Hoshi Ya Sushi,42.349064239875446,-71.16294091728008,Sushi Restaurant
4,02135,42.3463503,-71.1626756,Energize,42.350444,-71.167959,Vegetarian / Vegan Restaurant
5,02135,42.3463503,-71.1626756,YMCA - Oak Square,42.35085178167349,-71.16727331350194,Gym
6,02135,42.3463503,-71.1626756,Fiorella's Express,42.35059482463168,-71.1683371339448,Italian Restaurant
7,02135,42.3463503,-71.1626756,Domino's Pizza,42.34873225324593,-71.1590132117272,Pizza Place
8,02135,42.3463503,-71.1626756,Papa John's Pizza,42.34919565677089,-71.16294707528544,Pizza Place
9,02135,42.3463503,-71.1626756,Thai North Restaurant,42.351126,-71.168456,Thai Restaurant
10,02135,42.3463503,-71.1626756,Little Pizza King,42.349210687215844,-71.15473966185793,Pizza Place
11,02135,42.3463503,-71.1626756,"Pizza, Etc",42.351110932000665,-71.16832042822551,Pizza Place
12,02135,42.3463503,-71.1626756,WingzXpress,42.34984632705838,-71.1645052709464,Wings Joint
13,02135,42.3463503,-71.1626756,GNC,42.34899952997998,-71.15974272202952,Supplement Shop
14,02135,42.3463503,-71.1626756,Newton Commonwealth Golf Course,42.344575023883,-71.17067354228374,Golf Course
15,02135,42.3463503,-71.1626756,T-Mobile,42.348704,-71.158957,Mobile Phone Shop
16,02135,42.3463503,-71.1626756,Brighton Laundry & Dry Cleaners,42.348924143085284,-71.15663359697395,Dry Cleaner
17,02135,42.3463503,-71.1626756,Athan's Bakery - Brighton,42.34921723078743,-71.15521937510591,Bakery
18,02135,42.3463503,-71.1626756,Starbucks,42.34874569825288,-71.15988603144754,Coffee Shop
19,02135,42.3463503,-71.1626756,CVS pharmacy,42.34926681617406,-71.15649943637607,Pharmacy
20,02135,42.3463503,-71.1626756,Daniel's Bakery,42.349223988124685,-71.15501079842944,Bakery
21,02135,42.3463503,-71.1626756,Crazy Dough's Pizza,42.34331891533713,-71.16495098394789,Pizza Place
22,02135,42.3463503,-71.1626756,Pic-a-Pasta,42.35059084739013,-71.1670688494448,Noodle House
23,02135,42.3463503,-71.1626756,7-Eleven,42.3500266877702,-71.1656731367111,Convenience Store
24,02135,42.3463503,-71.1626756,Citizens Bank,42.34890273159867,-71.15567922592163,Bank
25,02135,42.3463503,-71.1626756,Supercuts,42.34882848420685,-71.1597726831791,Salon / Barbershop
26,02135,42.3463503,-71.1626756,SUBWAY,42.34927205232784,-71.15553721225109,Sandwich Place
27,02135,42.3463503,-71.1626756,Dunkin',42.35035691993124,-71.1668656685452,Donut Shop
28,02135,42.3463503,-71.1626756,The UPS Store,42.3403413,-71.1663439,Shipping Store
29,02135,42.3463503,-71.1626756,Dragon Chef,42.349217618848996,-71.15533933777394,Chinese Restaurant
30,02135,42.3463503,-71.1626756,New Hong Kong,42.35047702962185,-71.16867436342102,Chinese Restaurant
31,02135,42.3463503,-71.1626756,Bangkok Bistro,42.349214405442375,-71.15691429757074,Thai Restaurant
32,02135,42.3463503,-71.1626756,MBTA Boston College Station,42.343342592223685,-71.16490973095061,Metro Station
33,02135,42.3463503,-71.1626756,The Last Drop,42.350447799203295,-71.16663337096686,Bar
34,02135,42.3463503,-71.1626756,USA Clean Master,42.35161757,-71.16135172,Home Service
35,02135,42.3463503,-71.1626756,Bus 57 montfern At Washington,42.3503611,-71.1577768,Metro Station
36,02135,42.3463503,-71.1626756,Energize,42.350735,-71.168196,Juice Bar
37,02135,42.3463503,-71.1626756,Amanda's Flowers,42.350390000000004,-71.16865899999999,Flower Shop
38,02135,42.3463503,-71.1626756,MBTA Bus Stop | Washington St & Tremont St,42.350586388410306,-71.16867869445332,Bus Station
39,02135,42.3463503,-71.1626756,City Tails,42.35050103370925,-71.16879954315965,Pet Store
